
Pro Inside global      Inside local       Outside local      Outside global
tcp 172.25.40.31:50994 172.20.43.216:50994 62.67.193.75:80   62.67.193.75:80
tcp 172.25.40.31:49884 10.1.0.18:49884    162.125.64.1:443   162.125.64.1:443
tcp 172.25.40.31:50948 172.20.43.216:50948 95.100.119.7:443  95.100.119.7:443
tcp 172.25.40.31:51029 172.20.43.216:51029 62.67.193.75:80   62.67.193.75:80
tcp 172.25.40.31:51031 172.20.43.216:51031 62.67.193.75:80   62.67.193.75:80
tcp 172.25.40.31:50009 172.20.43.208:50009 72.247.209.58:443 72.247.209.58:443
tcp 172.25.40.31:49840 10.1.0.17:49840    216.58.210.163:443 216.58.210.163:443
tcp 172.25.40.31:50228 172.20.43.217:50228 130.206.192.8:80  130.206.192.8:80
tcp 172.25.40.31:51132 172.20.43.216:51132 62.67.193.21:80   62.67.193.21:80
tcp 172.25.40.31:51133 172.20.43.216:51133 62.67.193.21:80   62.67.193.21:80
udp 172.25.40.31:64255 172.20.43.227:64255 172.25.40.52:53   172.25.40.52:53
tcp 172.25.40.31:49996 172.20.43.215:49996 162.125.64.1:443  162.125.64.1:443
tcp 172.25.40.31:49894 10.1.0.17:49894    216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:50998 172.20.43.216:50998 151.101.16.166:80 151.101.16.166:80
tcp 172.25.40.31:50999 172.20.43.216:50999 151.101.16.166:80 151.101.16.166:80
tcp 172.25.40.31:51005 172.20.43.216:51005 151.101.16.166:80 151.101.16.166:80
tcp 172.25.40.31:50493 172.20.43.216:50493 31.13.83.4:80     31.13.83.4:80
tcp 172.25.40.31:50494 172.20.43.216:50494 31.13.83.4:80     31.13.83.4:80
tcp 172.25.40.31:50641 172.20.43.227:50641 184.30.209.122:80 184.30.209.122:80
tcp 172.25.40.31:50977 172.20.43.216:50977 151.101.16.249:80 151.101.16.249:80
tcp 172.25.40.31:50545 172.20.43.216:50545 31.13.83.4:80     31.13.83.4:80
tcp 172.25.40.31:50546 172.20.43.216:50546 31.13.83.4:80     31.13.83.4:80
tcp 172.25.40.31:49982 172.20.43.219:49982 216.58.210.163:443 216.58.210.163:443
tcp 172.25.40.31:50705 172.20.43.216:50705 151.101.16.166:443 151.101.16.166:443
tcp 172.25.40.31:51035 172.20.43.216:51035 185.29.135.48:80  185.29.135.48:80
tcp 172.25.40.31:50684 172.20.43.216:50684 54.239.33.86:443  54.239.33.86:443
--- 172.25.40.32       10.4.2.6           ---                ---
tcp 172.25.40.31:50027 172.20.43.214:50027 216.58.210.163:443 216.58.210.163:443
tcp 172.25.40.31:51187 172.20.43.216:51187 95.100.119.7:443  95.100.119.7:443
tcp 172.25.40.31:51188 172.20.43.216:51188 95.100.119.7:443  95.100.119.7:443
tcp 172.25.40.31:51189 172.20.43.216:51189 95.100.119.7:443  95.100.119.7:443
tcp 172.25.40.31:51192 172.20.43.216:51192 95.100.119.7:443  95.100.119.7:443
tcp 172.25.40.31:50594 172.20.43.227:50594 172.227.115.226:443 172.227.115.226:443
tcp 172.25.40.31:50595 172.20.43.227:50595 172.227.115.226:443 172.227.115.226:443
tcp 172.25.40.31:50596 172.20.43.227:50596 172.227.115.226:443 172.227.115.226:443
tcp 172.25.40.31:50597 172.20.43.227:50597 172.227.115.226:443 172.227.115.226:443
tcp 172.25.40.31:50895 172.20.43.216:50895 108.177.12.94:80  108.177.12.94:80
tcp 172.25.40.31:50823 172.20.43.216:50823 204.11.109.75:80  204.11.109.75:80
tcp 172.25.40.31:50896 172.20.43.216:50896 108.177.12.94:80  108.177.12.94:80
tcp 172.25.40.31:50897 172.20.43.216:50897 108.177.12.94:80  108.177.12.94:80
tcp 172.25.40.31:50011 172.20.43.216:50011 13.107.21.200:443 13.107.21.200:443
tcp 172.25.40.31:50107 172.20.43.214:50107 216.58.210.161:443 216.58.210.161:443
tcp 172.25.40.31:50108 172.20.43.214:50108 216.58.210.161:443 216.58.210.161:443
tcp 172.25.40.31:50105 172.20.43.214:50105 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:50106 172.20.43.214:50106 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:1647  172.20.43.227:50487 54.239.33.86:443  54.239.33.86:443
tcp 172.25.40.31:50789 172.20.43.216:50789 216.58.201.130:80 216.58.201.130:80
tcp 172.25.40.31:50790 172.20.43.216:50790 216.58.201.130:80 216.58.201.130:80
tcp 172.25.40.31:1651  172.20.43.227:50491 54.239.33.86:443  54.239.33.86:443
tcp 172.25.40.31:1652  172.20.43.227:50492 54.239.33.86:443  54.239.33.86:443
tcp 172.25.40.31:1660  172.20.43.227:50501 54.239.33.86:443  54.239.33.86:443
tcp 172.25.40.31:1661  172.20.43.227:50502 54.239.33.86:443  54.239.33.86:443
tcp 172.25.40.31:1662  172.20.43.227:50503 54.239.33.86:443  54.239.33.86:443
tcp 172.25.40.31:50908 172.20.43.216:50908 23.223.65.115:80  23.223.65.115:80
tcp 172.25.40.31:50909 172.20.43.216:50909 23.223.65.115:80  23.223.65.115:80
udp 172.25.40.31:62469 172.20.43.227:62469 172.25.40.52:53   172.25.40.52:53
tcp 172.25.40.31:50813 172.20.43.216:50813 216.58.201.130:80 216.58.201.130:80
tcp 172.25.40.31:1036  172.20.43.205:50689 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:1360  172.20.43.219:50008 64.233.184.189:443 64.233.184.189:443
tcp 172.25.40.31:50973 172.20.43.216:50973 204.11.109.67:80  204.11.109.67:80
tcp 172.25.40.31:1050  172.20.43.205:50679 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:1058  172.20.43.209:49877 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:50248 172.20.43.208:50248 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:50249 172.20.43.208:50249 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:51181 172.20.43.216:51181 72.247.199.195:80 72.247.199.195:80
tcp 172.25.40.31:51163 172.20.43.216:51163 23.223.65.16:80   23.223.65.16:80
tcp 172.25.40.31:1578  172.20.43.214:50009 64.233.184.189:443 64.233.184.189:443
tcp 172.25.40.31:50791 172.20.43.216:50791 216.58.210.163:80 216.58.210.163:80
tcp 172.25.40.31:50792 172.20.43.216:50792 216.58.210.163:80 216.58.210.163:80
tcp 172.25.40.31:49883 10.1.0.18:49883    162.125.18.133:443 162.125.18.133:443
tcp 172.25.40.31:50787 172.20.43.216:50787 216.58.210.174:80 216.58.210.174:80
tcp 172.25.40.31:50788 172.20.43.216:50788 216.58.210.174:80 216.58.210.174:80
tcp 172.25.40.31:49881 172.20.43.209:49881 88.221.236.50:443 88.221.236.50:443
tcp 172.25.40.31:49882 172.20.43.209:49882 88.221.236.50:443 88.221.236.50:443
tcp 172.25.40.31:50816 172.20.43.216:50816 216.58.210.161:80 216.58.210.161:80
tcp 172.25.40.31:50797 172.20.43.216:50797 130.206.192.34:80 130.206.192.34:80
tcp 172.25.40.31:50798 172.20.43.216:50798 130.206.192.34:80 130.206.192.34:80
tcp 172.25.40.31:1615  172.20.43.205:50538 64.233.184.189:443 64.233.184.189:443
tcp 172.25.40.31:50809 172.20.43.216:50809 216.58.210.174:80 216.58.210.174:80
tcp 172.25.40.31:49909 172.20.43.207:49909 88.221.236.50:443 88.221.236.50:443
tcp 172.25.40.31:50849 172.20.43.216:50849 216.58.210.166:80 216.58.210.166:80
tcp 172.25.40.31:50851 172.20.43.216:50851 216.58.210.166:80 216.58.210.166:80
tcp 172.25.40.31:50852 172.20.43.216:50852 216.58.210.166:80 216.58.210.166:80
tcp 172.25.40.31:50448 172.20.43.216:50448 172.25.32.98:80   172.25.32.98:80
tcp 172.25.40.31:49931 172.20.43.201:49931 198.252.206.25:443 198.252.206.25:443
tcp 172.25.40.31:50449 172.20.43.216:50449 172.25.32.98:80   172.25.32.98:80
tcp 172.25.40.31:50872 172.20.43.216:50872 130.206.192.23:80 130.206.192.23:80
tcp 172.25.40.31:50833 172.20.43.216:50833 216.58.210.228:80 216.58.210.228:80
tcp 172.25.40.31:50834 172.20.43.216:50834 216.58.210.228:80 216.58.210.228:80
tcp 172.25.40.31:1698  172.20.43.205:50651 64.233.184.189:443 64.233.184.189:443
tcp 172.25.40.31:50940 172.20.43.216:50940 52.222.236.112:443 52.222.236.112:443
tcp 172.25.40.31:50941 172.20.43.216:50941 52.222.236.112:443 52.222.236.112:443
tcp 172.25.40.31:49998 172.20.43.215:49998 162.125.18.133:443 162.125.18.133:443
tcp 172.25.40.31:50835 172.20.43.216:50835 216.58.201.130:443 216.58.201.130:443
tcp 172.25.40.31:50857 172.20.43.216:50857 216.58.201.130:443 216.58.201.130:443
tcp 172.25.40.31:50858 172.20.43.216:50858 216.58.201.130:443 216.58.201.130:443
tcp 172.25.40.31:50859 172.20.43.216:50859 216.58.201.130:443 216.58.201.130:443
tcp 172.25.40.31:50008 172.20.43.208:50008 88.221.236.50:443 88.221.236.50:443
tcp 172.25.40.31:50426 172.20.43.227:50426 104.244.42.131:443 104.244.42.131:443
tcp 172.25.40.31:50946 172.20.43.216:50946 130.206.192.31:80 130.206.192.31:80
